day,scored_mae,original_mae,corrected_mae,delta,hours,accepted
2026-06-22,3472.4096,3472.4095900000007,1023.8379233333336,-2448.571666666667,24,True
2026-06-23,978.8867,978.8867466666668,730.1013208333343,-248.7854258333324,24,True
2026-06-24,876.1426,876.1425838541667,766.5514421875008,-109.59114166666586,24,True
2026-06-25,2819.282,2819.2819955208342,1602.5057823958343,-1216.776213125,24,True
2026-06-26,2716.6433,2716.6432827083336,786.8592314583326,-1929.784051250001,24,True
2026-06-27,3040.0193,3040.019269375,1457.4132329166662,-1582.6060364583338,24,True
2026-06-28,2980.2805,2980.280480104166,718.9802890624997,-2261.3001910416665,24,True
2026-06-29,2520.6441,2520.644052291667,1378.0068470833328,-1142.637205208334,24,True
2026-06-30,1201.8576,1201.857590833333,2296.5545024999997,1094.696911666667,24,True
2026-07-01,2156.9527,2156.952708333334,790.7051441666681,-1366.247564166666,24,True
2026-07-02,3442.1311,3442.1311286458345,1705.338763645834,-1736.7923650000005,24,True
2026-07-03,4886.3023,4886.3022808333335,1323.673292499999,-3562.6289883333347,24,True
2026-07-04,3675.5943,3675.5943167708338,853.918502187501,-2821.6758145833323,24,True
2026-07-05,4507.0095,4507.009456250001,1566.018064375,-2940.9913918750008,24,True
2026-07-06,,2136.639736805555,580.5230204166668,-1556.116716388888,18,True
